Genre	Name	TrackId	Popularity	Year	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	valence
chill	On The Radio - Long Version	4fn2ERqBsyjnS1qIZWCQAc	0	2022	0.106	https://api.spotify.com/v1/audio-analysis/4fn2ERqBsyjnS1qIZWCQAc	0.735	351960	0.49	0.0000162	4	0.062	-13.186	0	0.0342	127.36	4	https://api.spotify.com/v1/tracks/4fn2ERqBsyjnS1qIZWCQAc	0.656
chill	Rockabye (feat. Sean Paul & Anne-Marie) - Thomas Rasmus Chill Mix	122AOGwKIrI40hLGYRwirG	47	2016	0.00509	https://api.spotify.com/v1/audio-analysis/122AOGwKIrI40hLGYRwirG	0.432	218773	0.788	0.00000136	9	0.0777	-6.126	0	0.0997	187.976	4	https://api.spotify.com/v1/tracks/122AOGwKIrI40hLGYRwirG	0.188
chill	Feelings Undercover - Instrumental	7GcOLTPILerZ24z6Hd2mZr	2	2022	0.228	https://api.spotify.com/v1/audio-analysis/7GcOLTPILerZ24z6Hd2mZr	0.682	205400	0.859	0.825	4	0.111	-6.101	1	0.0291	120	4	https://api.spotify.com/v1/tracks/7GcOLTPILerZ24z6Hd2mZr	0.553
chill	Cross Country	4DjwHBtFS8sYvQQz1hE3Tu	0	2022	0.82	https://api.spotify.com/v1/audio-analysis/4DjwHBtFS8sYvQQz1hE3Tu	0.675	206949	0.444	0	2	0.0969	-7.179	1	0.0286	117.903	4	https://api.spotify.com/v1/tracks/4DjwHBtFS8sYvQQz1hE3Tu	0.293
chill	Cross Country	5zAVnjkonLyRBTGIRgSc0h	0	2022	0.82	https://api.spotify.com/v1/audio-analysis/5zAVnjkonLyRBTGIRgSc0h	0.675	206949	0.444	0	2	0.0969	-7.179	1	0.0286	117.903	4	https://api.spotify.com/v1/tracks/5zAVnjkonLyRBTGIRgSc0h	0.293
chill	Ani Kuni - Edit	5x6M5AaNLiZClziEqKF2fI	0	2022	0.0862	https://api.spotify.com/v1/audio-analysis/5x6M5AaNLiZClziEqKF2fI	0.704	169267	0.669	0.348	0	0.108	-5.691	1	0.0309	121.005	4	https://api.spotify.com/v1/tracks/5x6M5AaNLiZClziEqKF2fI	0.305
chill	Magic	0HqgsodoPDs4A9HFqp51Y1	1	2022	0.34	https://api.spotify.com/v1/audio-analysis/0HqgsodoPDs4A9HFqp51Y1	0.575	408800	0.7	0.0329	7	0.0998	-8.444	1	0.0636	110.989	4	https://api.spotify.com/v1/tracks/0HqgsodoPDs4A9HFqp51Y1	0.113
chill	Sober	5QbE4RRYqF6Qzk8bArLYjp	0	2022	0.34	https://api.spotify.com/v1/audio-analysis/5QbE4RRYqF6Qzk8bArLYjp	0.657	266288	0.7	0.000101	10	0.0992	-4.911	0	0.382	82.113	4	https://api.spotify.com/v1/tracks/5QbE4RRYqF6Qzk8bArLYjp	0.61
chill	Put On Repeat	12MvfvnyeRZSEJ946cKknx	0	2022	0.401	https://api.spotify.com/v1/audio-analysis/12MvfvnyeRZSEJ946cKknx	0.48	185693	0.606	0.0248	5	0.245	-5.428	1	0.035	95.128	3	https://api.spotify.com/v1/tracks/12MvfvnyeRZSEJ946cKknx	0.372
chill	Better Version	7GHdDHbVQNPNnYBdqnLYFp	1	2022	0.418	https://api.spotify.com/v1/audio-analysis/7GHdDHbVQNPNnYBdqnLYFp	0.563	215118	0.356	0.0000337	0	0.111	-7.522	1	0.051	64.511	3	https://api.spotify.com/v1/tracks/7GHdDHbVQNPNnYBdqnLYFp	0.441
